"Red" "Green" "Blue" "Grey"
"160" 6.022 20 3.569 29.52
"161" 6.091 20.25 3.612 29.89
"162" 6.17 20.53 3.658 30.27
"163" 6.244 20.77 3.7 30.61
"164" 6.322 21.02 3.745 30.98
"165" 6.403 21.31 3.795 31.43
"166" 6.48 21.56 3.841 31.81
"167" 6.557 21.79 3.887 32.18
"168" 6.637 22.05 3.931 32.56
"169" 6.718 22.34 3.98 32.97
"170" 6.799 22.6 4.022 33.37
"171" 6.872 22.87 4.071 33.77
"172" 6.959 23.15 4.117 34.18
"173" 7.032 23.39 4.164 34.57
"174" 7.122 23.66 4.209 34.95
"175" 7.198 23.92 4.259 35.38
"176" 7.285 24.2 4.308 35.77
"177" 7.361 24.45 4.357 36.2
"178" 7.447 24.73 4.403 36.59
"179" 7.528 25 4.453 37.01
"180" 7.621 25.25 4.498 37.44
"181" 7.702 25.53 4.55 37.85
"182" 7.791 25.81 4.6 38.28
"183" 7.87 26.08 4.648 38.7
"184" 7.963 26.39 4.699 39.13
"185" 8.054 26.68 4.755 39.6
"186" 8.137 26.97 4.807 40.05
"187" 8.228 27.26 4.858 40.45
"188" 8.32 27.54 4.906 40.9
"189" 8.406 27.83 4.954 41.34
"190" 8.498 28.14 5.006 41.76
"191" 8.589 28.41 5.057 42.09
"192" 8.679 28.73 5.113 42.55
"193" 8.793 29.07 5.173 43.13
"194" 8.885 29.37 5.228 43.57
"195" 8.985 29.67 5.281 44.01
"196" 9.071 30 5.332 44.47
"197" 9.17 30.28 5.392 44.93
"198" 9.266 30.6 5.443 45.38
"199" 9.358 30.9 5.499 45.86
"200" 9.457 31.22 5.548 46.3
"201" 9.559 31.52 5.606 46.75
"202" 9.657 31.83 5.668 47.23
"203" 9.764 32.15 5.718 47.72
"204" 9.859 32.46 5.775 48.2
"205" 9.955 32.79 5.833 48.69
"206" 10.05 33.11 5.891 49.18
"207" 10.16 33.42 5.942 49.64
"208" 10.26 33.75 5.999 50.11
"209" 10.35 34.09 6.056 50.63
"210" 10.45 34.38 6.113 51.12
"211" 10.57 34.72 6.172 51.59
"212" 10.66 35.04 6.228 52.09
"213" 10.77 35.38 6.288 52.62
"214" 10.88 35.68 6.342 53.11
