401.2,  -2.54094,  -2.56320,  -1.16209
401.3,  -2.53466,  -2.55663,  -1.15515
401.4,  -2.52839,  -2.55008,  -1.14823
401.5,  -2.52215,  -2.54356,  -1.14132
401.6,  -2.51593,  -2.53706,  -1.13444
401.7,  -2.50974,  -2.53059,  -1.12757
401.8,  -2.50357,  -2.52413,  -1.12072
401.9,  -2.49741,  -2.51770,  -1.11389
402.0,  -2.49128,  -2.51129,  -1.10708
402.1,  -2.48517,  -2.50491,  -1.10029
402.2,  -2.47908,  -2.49854,  -1.09352
402.3,  -2.47301,  -2.49220,  -1.08677
402.4,  -2.46696,  -2.48587,  -1.08003
402.5,  -2.46094,  -2.47957,  -1.07332
402.6,  -2.45493,  -2.47329,  -1.06662
402.7,  -2.44893,  -2.46703,  -1.05995
402.8,  -2.44296,  -2.46079,  -1.05329
402.9,  -2.43701,  -2.45456,  -1.04666
403.0,  -2.43107,  -2.44836,  -1.04004
403.1,  -2.42516,  -2.44218,  -1.03345
403.2,  -2.41926,  -2.43601,  -1.02687
403.3,  -2.41338,  -2.42986,  -1.02031
403.4,  -2.40751,  -2.42373,  -1.01378
403.5,  -2.40166,  -2.41762,  -1.00726
403.6,  -2.39583,  -2.41153,  -1.00077
403.7,  -2.39002,  -2.40545,  -0.99429
403.8,  -2.38422,  -2.39939,  -0.98784
403.9,  -2.37843,  -2.39335,  -0.98141
404.0,  -2.37266,  -2.38732,  -0.97500
404.1,  -2.36691,  -2.38131,  -0.96861
404.2,  -2.36117,  -2.37532,  -0.96224
404.3,  -2.35544,  -2.36934,  -0.95589
404.4,  -2.34973,  -2.36337,  -0.94956
404.5,  -2.34404,  -2.35742,  -0.94325
404.6,  -2.33835,  -2.35149,  -0.93697
404.7,  -2.33268,  -2.34557,  -0.93070
404.8,  -2.32703,  -2.33966,  -0.92446
404.9,  -2.32138,  -2.33377,  -0.91824
405.0,  -2.31575,  -2.32789,  -0.91204
405.1,  -2.31013,  -2.32203,  -0.90586
405.2,  -2.30452,  -2.31618,  -0.89970
405.3,  -2.29892,  -2.31034,  -0.89357
405.4,  -2.29334,  -2.30451,  -0.88746
405.5,  -2.28778,  -2.29870,  -0.88137
405.6,  -2.28222,  -2.29291,  -0.87530
405.7,  -2.27668,  -2.28713,  -0.86926
405.8,  -2.27116,  -2.28136,  -0.86324
405.9,  -2.26565,  -2.27561,  -0.85724
406.0,  -2.26016,  -2.26988,  -0.85126
406.1,  -2.25469,  -2.26416,  -0.84531
406.2,  -2.24923,  -2.25845,  -0.83938
406.3,  -2.24379,  -2.25276,  -0.83347
